dataset,num_beams,n_edges,propagation_steps,metric,mean,std,n_seeds
sports_and_outdoors,200,30,2,ndcg@5,0.020319511349719994,0.00018265686044285247,10
sports_and_outdoors,200,30,2,ndcg@50,0.037140193119786606,0.000129725364485326,10
sports_and_outdoors,200,30,2,recall@10,0.04436485195797517,0.00032492597048448254,10
sports_and_outdoors,200,30,2,recall@100,0.13741502331591662,0.000497614677804263,10
sports_and_outdoors,200,30,2,recall@5,0.029849991572560255,0.00024922546950421323,10
sports_and_outdoors,200,30,2,recall@50,0.1007697061632676,0.0002536195968646942,10
sports_and_outdoors,200,30,3,ndcg@10,0.025581746495378185,7.079541474954392e-05,10
sports_and_outdoors,200,30,3,ndcg@100,0.044621995898741496,4.937089522486839e-05,10
sports_and_outdoors,200,30,3,ndcg@5,0.02083708611279567,5.838377651109322e-05,10
sports_and_outdoors,200,30,3,ndcg@50,0.03837055900263963,6.565089410482608e-05,10
sports_and_outdoors,200,30,3,recall@10,0.045600876453733355,0.00012773982978657992,10
sports_and_outdoors,200,30,3,recall@100,0.1435108713972695,0.00023801428171845685,10
sports_and_outdoors,200,30,3,recall@5,0.030746109331984944,7.038455521083985e-05,10
sports_and_outdoors,200,30,3,recall@50,0.10483735041294455,0.00017367302461740737,10
sports_and_outdoors,200,30,5,ndcg@10,0.025639063534046654,4.094143524865398e-05,10
sports_and_outdoors,200,30,5,ndcg@100,0.04475489455363718,4.117348715007956e-05,10
sports_and_outdoors,200,30,5,ndcg@5,0.020888730876733364,3.9036087289744386e-05,10
sports_and_outdoors,200,30,5,ndcg@50,0.03848630231692387,3.49447069046315e-05,10
sports_and_outdoors,200,30,5,recall@10,0.04570481487724029,9.174634315722655e-05,10
sports_and_outdoors,200,30,5,recall@100,0.14400809034215406,0.00023547731608892104,10
sports_and_outdoors,200,30,5,recall@5,0.030833192876004268,5.802548227364698e-05,10
sports_and_outdoors,200,30,5,recall@50,0.10522501264115962,0.00010154459397888012,10
sports_and_outdoors,200,50,5,ndcg@10,0.025727793436280406,2.061114784019012e-05,10
sports_and_outdoors,200,50,5,ndcg@100,0.04502843607065751,2.7483681440249498e-05,10
sports_and_outdoors,200,50,5,ndcg@5,0.02099588183420643,1.9745547877549638e-05,10
sports_and_outdoors,200,50,5,ndcg@50,0.03867203363244256,1.958171808441471e-05,10
sports_and_outdoors,200,50,5,recall@10,0.04583965391314119,5.427786859257894e-05,10
sports_and_outdoors,200,50,5,recall@100,0.1451598404404742,0.00010936046085478299,10
sports_and_outdoors,200,50,5,recall@5,0.031024214843530535,3.553320591233583e-05,10
sports_and_outdoors,200,50,5,recall@50,0.10582897915613236,6.075670242713551e-05,10
sports_and_outdoors,200,100,5,ndcg@10,0.025727410839611147,2.5678499834646598e-06,10
sports_and_outdoors,200,100,5,ndcg@100,0.04510516803672933,9.659045220113105e-06,10
sports_and_outdoors,200,100,5,ndcg@5,0.021006349541376236,0.0,10
sports_and_outdoors,200,100,5,ndcg@50,0.03874685070762856,4.584719297817536e-06,10
sports_and_outdoors,200,100,5,recall@10,0.0458199898870723,8.883301478084689e-06,10
sports_and_outdoors,200,100,5,recall@100,0.1455081746165515,5.7417868856884425e-05,10
sports_and_outdoors,200,100,5,recall@5,0.031041069723018146,0.0,10
sports_and_outdoors,200,100,5,recall@50,0.10616045845272207,2.4596748013111554e-05,10
sports_and_outdoors,200,200,5,ndcg@10,0.02572659881414741,0.0,10
sports_and_outdoors,200,200,5,ndcg@100,0.04510588842758644,3.5082167219209143e-06,10
sports_and_outdoors,200,200,5,ndcg@5,0.021006349541376236,0.0,10
sports_and_outdoors,200,200,5,ndcg@50,0.03874714067129916,2.352586723453248e-06,10
sports_and_outdoors,200,200,5,recall@10,0.045817180740491036,0.0,10
sports_and_outdoors,200,200,5,recall@100,0.14551941120287656,2.2158847062932685e-05,10
sports_and_outdoors,200,200,5,recall@5,0.031041069723018146,0.0,10
sports_and_outdoors,200,200,5,recall@50,0.1061660767458846,1.356946714813869e-05,10
sports_and_outdoors,200,500,5,ndcg@10,0.02572659881414741,0.0,10
sports_and_outdoors,200,500,5,ndcg@100,0.04510492551804955,0.0,10
sports_and_outdoors,200,500,5,ndcg@5,0.021006349541376236,0.0,10
sports_and_outdoors,200,500,5,ndcg@50,0.038745578048795026,0.0,10
sports_and_outdoors,200,500,5,recall@10,0.045817180740491036,0.0,10
sports_and_outdoors,200,500,5,recall@100,0.14551379290971403,0.0,10
sports_and_outdoors,200,500,5,recall@5,0.031041069723018146,0.0,10
sports_and_outdoors,200,500,5,recall@50,0.1061576493061408,0.0,10
toys_and_games,10,20,3,ndcg@10,0.02301619933707405,0.0005924502371832002,10
toys_and_games,10,20,3,ndcg@5,0.019197150198683257,0.0005899878034567518,10
toys_and_games,10,20,3,recall@10,0.03947043066144653,0.0011238618200911264,10
toys_and_games,10,20,3,recall@5,0.02756027199670307,0.0008471664526096579,10
toys_and_games,20,20,3,ndcg@10,0.031758728022338825,0.0005397856829825351,10
toys_and_games,20,20,3,ndcg@5,0.026364756965548776,0.0004682924585892808,10
toys_and_games,20,20,3,recall@10,0.055460539872243975,0.0010095328627901922,10
toys_and_games,20,20,3,recall@5,0.03861013805893262,0.0006713379285089836,10
toys_and_games,50,20,3,ndcg@10,0.04195147324318913,0.00047004392355486774,10
toys_and_games,50,20,3,ndcg@5,0.03469421307640962,0.00046420137042759335,10
toys_and_games,50,20,3,ndcg@50,0.05784080752167546,0.0004333279051071692,10
toys_and_games,50,20,3,recall@10,0.07396970945806718,0.0007836870541085627,10
toys_and_games,50,20,3,recall@5,0.0512054399340614,0.0006799570668735268,10
toys_and_games,50,20,3,recall@50,0.14571399134555946,0.0008182003325809023,10
toys_and_games,100,20,3,ndcg@10,0.04496033612140522,0.00034192211826406844,10
toys_and_games,100,20,3,ndcg@100,0.06953699443771032,0.0003833866823470011,10
toys_and_games,100,20,3,ndcg@5,0.03720795267510851,0.00038074463325180074,10
toys_and_games,100,20,3,ndcg@50,0.063562403486183,0.0003909933665483598,10
toys_and_games,100,20,3,recall@10,0.07955903564805275,0.0004524945145133765,10
toys_and_games,100,20,3,recall@100,0.20057181125077272,0.0009850072117502467,10
toys_and_games,100,20,3,recall@5,0.05529569338553472,0.0005420324933457433,10
toys_and_games,100,20,3,recall@50,0.16370801566041623,0.0007765054354764712,10
toys_and_games,200,20,1,ndcg@10,0.024156634437713626,0.0005871999722682668,10
toys_and_games,200,20,1,ndcg@100,0.033952795454144924,0.0006821887040094286,10
toys_and_games,200,20,1,ndcg@5,0.020154222028969784,0.0006772014172495925,10
toys_and_games,200,20,1,ndcg@50,0.03161360529866841,0.0007659068672302133,10
toys_and_games,200,20,1,recall@10,0.04150010302905419,0.0007493548957744976,10
toys_and_games,200,20,1,recall@100,0.08931073562744694,0.0013829302700570734,10
toys_and_games,200,20,1,recall@5,0.029028436018957347,0.0007497679423250495,10
toys_and_games,200,20,1,recall@50,0.07490212239851637,0.0015628903431530682,10
toys_and_games,200,20,2,ndcg@10,0.04416878090374204,0.00043770621350081,10
toys_and_games,200,20,2,ndcg@100,0.06762659673861332,0.0004942953200043723,10
toys_and_games,200,20,2,ndcg@5,0.03659040582240205,0.00039082283884342206,10
toys_and_games,200,20,2,ndcg@50,0.06185553366694098,0.0004549993194499924,10
toys_and_games,200,20,2,recall@10,0.07773542138883165,0.000799167269607808,10
toys_and_games,200,20,2,recall@100,0.19328765711930765,0.001706894640096736,10
toys_and_games,200,20,2,recall@5,0.053987224397280036,0.0005833260440779933,10
toys_and_games,200,20,2,recall@50,0.15771172470636718,0.0013257138967831153,10
toys_and_games,200,20,3,ndcg@10,0.04643202736749616,0.00013908756739725283,10
toys_and_games,200,20,3,ndcg@100,0.07293361609215568,9.958321721887418e-05,10
toys_and_games,200,20,3,ndcg@5,0.03851407832910714,0.00011133171622594621,10
toys_and_games,200,20,3,ndcg@50,0.06631698776969167,0.0001514584376506363,10
toys_and_games,200,20,3,recall@10,0.08220688234082012,0.00022883894840246784,10
toys_and_games,200,20,3,recall@100,0.21307438697712755,0.0004496181839151937,10
toys_and_games,200,20,3,recall@5,0.057412940449206674,0.00019313177208602836,10
toys_and_games,200,20,3,recall@50,0.17229033587471668,0.00044728402629408095,10
toys_and_games,200,20,5,ndcg@10,0.046707367455341535,0.00012315358160946714,10
toys_and_games,200,20,5,ndcg@100,0.07365092591929688,0.0001425771249502393,10
toys_and_games,200,20,5,ndcg@5,0.03878352152283059,6.405001230322532e-05,10
toys_and_games,200,20,5,ndcg@50,0.06690624403125744,0.00016636168017559403,10
toys_and_games,200,20,5,recall@10,0.0826962703482382,0.0002737226873550461,10
toys_and_games,200,20,5,recall@100,0.2157840511024109,0.0005862505079571541,10
toys_and_games,200,20,5,recall@5,0.05788172264578611,0.0001289579185075804,10
toys_and_games,200,20,5,recall@50,0.17421182773542138,0.0005456110202139041,10
toys_and_games,200,30,3,ndcg@10,0.046825544486218035,9.82124226820745e-05,10
toys_and_games,200,30,3,ndcg@100,0.07417971734690612,7.241760977757794e-05,10
toys_and_games,200,30,3,ndcg@5,0.038793427308773026,9.007315644258572e-05,10
toys_and_games,200,30,3,ndcg@50,0.06724067856046237,7.736177860024278e-05,10
toys_and_games,200,30,3,recall@10,0.08309808365959201,0.00022448095123100587,10
toys_and_games,200,30,3,recall@100,0.21852977539666185,0.0002597953413117578,10
toys_and_games,200,30,3,recall@5,0.05794354007830208,0.00015126530356168185,10
toys_and_games,200,30,3,recall@50,0.17572635483206264,0.0002932258287813271,10
toys_and_games,200,50,3,ndcg@10,0.04705300331438126,4.857277969001967e-05,10
toys_and_games,200,50,3,ndcg@100,0.07488164090605745,5.866968480967961e-05,10
toys_and_games,200,50,3,ndcg@5,0.038950291494598055,4.213439358378278e-05,10
toys_and_games,200,50,3,ndcg@50,0.06772779826801781,5.464064478507889e-05,10
toys_and_games,200,50,3,recall@10,0.0834998969709458,0.00010144278788201023,10
toys_and_games,200,50,3,recall@100,0.22146095198846075,0.00017171509032213502,10
toys_and_games,200,50,3,recall@5,0.05813414382855966,6.071045239942174e-05,10
toys_and_games,200,50,3,recall@50,0.17732330517205852,0.00014529978570854068,10
toys_and_games,200,100,3,ndcg@10,0.047141708693699866,8.152341020105344e-07,10
toys_and_games,200,100,3,ndcg@100,0.07509198570576017,1.3779675533650955e-05,10
toys_and_games,200,100,3,ndcg@5,0.03901961592639964,1.029105333546811e-05,10
toys_and_games,200,100,3,ndcg@50,0.06788227830105975,9.421909861021285e-06,10
toys_and_games,200,100,3,recall@10,0.0836595920049454,0.0,10
toys_and_games,200,100,3,recall@100,0.22231094168555532,7.38574530105306e-05,10
toys_and_games,200,100,3,recall@5,0.058232021430043274,2.6601987404408405e-05,10
toys_and_games,200,100,3,recall@50,0.17781269317947662,4.241049878160703e-05,10
toys_and_games,200,200,3,ndcg@10,0.047141077216079796,0.0,10
toys_and_games,200,200,3,ndcg@100,0.07510408925799496,1.8693912432282213e-07,10
toys_and_games,200,200,3,ndcg@5,0.039011644510763,0.0,10
toys_and_games,200,200,3,ndcg@50,0.06788449049465758,1.870834593247687e-07,10
toys_and_games,200,200,3,recall@10,0.0836595920049454,0.0,10
toys_and_games,200,200,3,recall@100,0.22238821347620027,0.0,10
toys_and_games,200,200,3,recall@5,0.058211415619204614,0.0,10
toys_and_games,200,200,3,recall@50,0.17782814753760562,0.0,10
toys_and_games,200,500,3,ndcg@10,0.047141077216079796,0.0,10
toys_and_games,200,500,3,ndcg@100,0.07510384017908275,0.0,10
toys_and_games,200,500,3,ndcg@5,0.039011644510763,0.0,10
toys_and_games,200,500,3,ndcg@50,0.06788426076437969,0.0,10
toys_and_games,200,500,3,recall@10,0.0836595920049454,0.0,10
toys_and_games,200,500,3,recall@100,0.22238821347620027,0.0,10
toys_and_games,200,500,3,recall@5,0.058211415619204614,0.0,10
toys_and_games,200,500,3,recall@50,0.17782814753760562,0.0,10
