dataset,lr,dropout,n_blocks,metric,test_mean,test_std,n_seeds,val_ndcg20_mean,val_ndcg20_std
beauty,0.0003,0.2,2,ndcg@10,0.0324,0.0022271057451320074,3,0.053565791080174084,0.0021516957788520223
beauty,0.0003,0.2,2,ndcg@20,0.040233333333333336,0.002417298767908785,3,0.053565791080174084,0.0021516957788520223
beauty,0.0003,0.2,2,ndcg@5,0.025366666666666666,0.0015502687938977974,3,0.053565791080174084,0.0021516957788520223
beauty,0.0003,0.2,2,recall@10,0.0613,0.004011234224026315,3,0.053565791080174084,0.0021516957788520223
beauty,0.0003,0.2,2,recall@20,0.09249999999999999,0.00464865571966779,3,0.053565791080174084,0.0021516957788520223
beauty,0.0003,0.2,2,recall@5,0.03946666666666667,0.0019008769905844328,3,0.053565791080174084,0.0021516957788520223
beauty,0.0003,0.5,2,ndcg@10,0.032233333333333336,0.00020816659994661257,3,0.05301104314007495,0.0006979815598786106
beauty,0.0003,0.5,2,ndcg@20,0.0401,0.0002999999999999982,3,0.05301104314007495,0.0006979815598786106
beauty,0.0003,0.5,2,ndcg@5,0.025166666666666667,0.0002309401076758509,3,0.05301104314007495,0.0006979815598786106
beauty,0.0003,0.5,2,recall@10,0.061233333333333334,0.0008326663997864519,3,0.05301104314007495,0.0006979815598786106
beauty,0.0003,0.5,2,recall@20,0.0926,0.0014730919862656249,3,0.05301104314007495,0.0006979815598786106
beauty,0.0003,0.5,2,recall@5,0.03936666666666667,0.0010408329997330674,3,0.05301104314007495,0.0006979815598786106
beauty,0.0003,0.8,2,ndcg@10,0.0251,0.0009165151389911697,3,0.04355176562621881,0.0017448092947302866
beauty,0.0003,0.8,2,ndcg@20,0.03153333333333334,0.0011372481406154676,3,0.04355176562621881,0.0017448092947302866
beauty,0.0003,0.8,2,ndcg@5,0.0189,0.0006082762530298223,3,0.04355176562621881,0.0017448092947302866
beauty,0.0003,0.8,2,recall@10,0.04903333333333334,0.0023115651263447743,3,0.04355176562621881,0.0017448092947302866
beauty,0.0003,0.8,2,recall@20,0.07479999999999999,0.0030049958402633397,3,0.04355176562621881,0.0017448092947302866
beauty,0.0003,0.8,2,recall@5,0.029833333333333333,0.0012055427546683413,3,0.04355176562621881,0.0017448092947302866
beauty,0.001,0.2,2,ndcg@10,0.029866666666666666,0.00055075705472861,3,0.04916488282393635,0.0002955884187398108
beauty,0.001,0.2,2,ndcg@20,0.03713333333333333,0.00028867513459481317,3,0.04916488282393635,0.0002955884187398108
beauty,0.001,0.2,2,ndcg@5,0.0231,0.0004582575694955831,3,0.04916488282393635,0.0002955884187398108
beauty,0.001,0.2,2,recall@10,0.057133333333333335,0.0010016652800877823,3,0.04916488282393635,0.0002955884187398108
