dataset,lr,temperature,metric,mean,std,n_seeds,val_ndcg10_mean,val_ndcg10_std
beauty,0.001,0.01,n_visited_items,6244.824544270833,15.289471888011484,3,0.059630842258532844,0.000271870466769125
beauty,0.001,0.01,ndcg@10,0.04534757509827614,0.000822724258289027,3,0.059630842258532844,0.000271870466769125
beauty,0.001,0.01,ndcg@5,0.03727628787358602,0.0008466968723149148,3,0.059630842258532844,0.000271870466769125
beauty,0.001,0.01,recall@10,0.07876104861497879,0.0014967311780325911,3,0.059630842258532844,0.000271870466769125
beauty,0.001,0.01,recall@5,0.053764402866363525,0.00138645814253274,3,0.059630842258532844,0.000271870466769125
beauty,0.001,0.03,n_visited_items,6201.263020833333,15.307884161576577,3,0.059162747114896774,0.0007336480299649683
beauty,0.001,0.03,ndcg@10,0.04440654069185257,0.00012774137216234343,3,0.059162747114896774,0.0007336480299649683
beauty,0.001,0.03,ndcg@5,0.035976784924666085,0.00043480740162967787,3,0.059162747114896774,0.0007336480299649683
beauty,0.001,0.03,recall@10,0.07767294347286224,0.0004265713626753033,3,0.059162747114896774,0.0007336480299649683
beauty,0.001,0.03,recall@5,0.051588188856840134,0.0006469767187917743,3,0.059162747114896774,0.0007336480299649683
beauty,0.001,0.07,n_visited_items,5976.358072916667,6.272530046312241,3,0.05858792488773664,0.00011089049863944255
beauty,0.001,0.07,ndcg@10,0.042999388029177986,0.0002124251859313787,3,0.05858792488773664,0.00011089049863944255
beauty,0.001,0.07,ndcg@5,0.034313153475522995,7.006573054491486e-05,3,0.05858792488773664,0.00011089049863944255
beauty,0.001,0.07,recall@10,0.07733011494080226,0.00034733662193395243,3,0.05858792488773664,0.00011089049863944255
beauty,0.001,0.07,recall@5,0.05038083717226982,0.0003723409459725664,3,0.05858792488773664,0.00011089049863944255
beauty,0.003,0.01,n_visited_items,6198.691731770833,16.74210262825928,3,0.060571872939666115,0.00023649849363044452
beauty,0.003,0.01,ndcg@10,0.04627086967229843,0.000420545322178458,3,0.060571872939666115,0.00023649849363044452
beauty,0.003,0.01,ndcg@5,0.03795007740457853,0.0005734076766491813,3,0.060571872939666115,0.00023649849363044452
beauty,0.003,0.01,recall@10,0.08078820755084355,0.0004781405298200654,3,0.060571872939666115,0.00023649849363044452
beauty,0.003,0.01,recall@5,0.054912131279706955,0.0004538249692553782,3,0.060571872939666115,0.00023649849363044452
beauty,0.003,0.03,n_visited_items,6187.29345703125,17.52189280436077,3,0.05977198605736097,0.0004279569015611819
beauty,0.003,0.03,ndcg@10,0.04492481673757235,0.00021486876476106622,3,0.05977198605736097,0.0004279569015611819
beauty,0.003,0.03,ndcg@5,0.0364174817999204,0.00027244668852291644,3,0.05977198605736097,0.0004279569015611819
beauty,0.003,0.03,recall@10,0.07898463308811188,0.0008151865778811135,3,0.05977198605736097,0.0004279569015611819
beauty,0.003,0.03,recall@5,0.05269120012720426,0.001048063872658265,3,0.05977198605736097,0.0004279569015611819
beauty,0.003,0.07,n_visited_items,5940.2197265625,18.190825463104446,3,0.05895082155863444,0.00022776984342720845
beauty,0.003,0.07,ndcg@10,0.04434280221660932,0.0009628697620682412,3,0.05895082155863444,0.00022776984342720845
beauty,0.003,0.07,ndcg@5,0.03582818681995074,0.0010262581157287978,3,0.05895082155863444,0.00022776984342720845
beauty,0.003,0.07,recall@10,0.07920821756124496,0.001699431386872269,3,0.05895082155863444,0.00022776984342720845
beauty,0.003,0.07,recall@5,0.05281044542789459,0.0018480498777772925,3,0.05895082155863444,0.00022776984342720845
beauty,0.01,0.01,n_visited_items,6134.89453125,36.915902528467974,3,0.05979981770118078,0.0005872115849185164
beauty,0.01,0.01,ndcg@10,0.04644341394305229,0.0005038136193098825,3,0.05979981770118078,0.0005872115849185164
beauty,0.01,0.01,ndcg@5,0.037692535668611526,0.0005080258575288479,3,0.05979981770118078,0.0005872115849185164
beauty,0.01,0.01,recall@10,0.08102669566869736,0.0007834996322372135,3,0.05979981770118078,0.0005872115849185164
beauty,0.01,0.01,recall@5,0.053898553053538,0.0007242636481728836,3,0.05979981770118078,0.0005872115849185164
beauty,0.01,0.03,n_visited_items,6165.283854166667,33.2875407558301,3,0.05949701244632403,0.00011932863365020648
beauty,0.01,0.03,ndcg@10,0.04597204178571701,0.0007856516519251303,3,0.05949701244632403,0.00011932863365020648
