dataset,m,lr,temperature,metric,mean,std,n_seeds,val_ndcg10_mean,val_ndcg10_std
pet_supplies,8,0.001,0.07,ndcg@5,0.023715725789467495,0.00034150109641039884,3,0.03888591254750887,0.0002451391426408074
pet_supplies,8,0.001,0.07,recall@10,0.05768197774887085,0.0003237857672648666,3,0.03888591254750887,0.0002451391426408074
pet_supplies,8,0.001,0.07,recall@5,0.03694936881462733,0.0004569787972867015,3,0.03888591254750887,0.0002451391426408074
pet_supplies,8,0.003,0.03,n_visited_items,4008.4386393229165,3.298514960153642,3,0.04065872977177302,0.0008339224377278193
pet_supplies,8,0.003,0.03,ndcg@10,0.031231718137860298,0.00044631076067139236,3,0.04065872977177302,0.0008339224377278193
pet_supplies,8,0.003,0.03,ndcg@5,0.02433839502433936,0.000331589742438347,3,0.04065872977177302,0.0008339224377278193
pet_supplies,8,0.003,0.03,recall@10,0.058873891830444336,0.0012710942651219677,3,0.04065872977177302,0.0008339224377278193
pet_supplies,8,0.003,0.03,recall@5,0.037436207135518394,0.0007709484816879626,3,0.04065872977177302,0.0008339224377278193
pet_supplies,8,0.003,0.05,n_visited_items,3969.05810546875,1.9259158352449295,3,0.039851232121388115,0.0003335771260287698
pet_supplies,8,0.003,0.05,ndcg@10,0.030662422999739647,0.0009238260161283536,3,0.039851232121388115,0.0003335771260287698
pet_supplies,8,0.003,0.05,ndcg@5,0.024010398735602696,0.0005173355245880444,3,0.039851232121388115,0.0003335771260287698
pet_supplies,8,0.003,0.05,recall@10,0.057816276947657265,0.002140854983485265,3,0.039851232121388115,0.0003335771260287698
pet_supplies,8,0.003,0.05,recall@5,0.037134030212958656,0.0007709484816879626,3,0.039851232121388115,0.0003335771260287698
pet_supplies,8,0.003,0.07,n_visited_items,3911.0115559895835,7.5419739881005565,3,0.039745779087146126,0.00029007263872310283
pet_supplies,8,0.003,0.07,ndcg@10,0.030956232299407322,0.00019282954856009562,3,0.039745779087146126,0.00029007263872310283
pet_supplies,8,0.003,0.07,ndcg@5,0.024031995485226314,0.00018880411726835325,3,0.039745779087146126,0.00029007263872310283
pet_supplies,8,0.003,0.07,recall@10,0.059008192270994186,0.00012674381645349313,3,0.039745779087146126,0.00029007263872310283
pet_supplies,8,0.003,0.07,recall@5,0.037503357976675034,0.00025348615261519856,3,0.039745779087146126,0.00029007263872310283
pet_supplies,8,0.01,0.03,n_visited_items,4023.4024251302085,12.962232823532185,3,0.03970547765493393,0.00013636157266111486
pet_supplies,8,0.01,0.03,ndcg@10,0.030786109467347462,0.0008610770027393626,3,0.03970547765493393,0.00013636157266111486
pet_supplies,8,0.01,0.03,ndcg@5,0.024233148122827213,0.0007413287845635753,3,0.03970547765493393,0.00013636157266111486
pet_supplies,8,0.01,0.03,recall@10,0.05727907518545786,0.0022704179738502156,3,0.03970547765493393,0.00013636157266111486
pet_supplies,8,0.01,0.03,recall@5,0.03689900661508242,0.0009027877931066533,3,0.03970547765493393,0.00013636157266111486
pet_supplies,8,0.01,0.05,n_visited_items,3965.5760091145835,3.1294700060705916,3,0.04004564260443052,0.0001432779334463981
pet_supplies,8,0.01,0.05,ndcg@10,0.0314986581603686,0.0010199329245363356,3,0.04004564260443052,0.0001432779334463981
pet_supplies,8,0.01,0.05,ndcg@5,0.02482969934741656,0.0010285532660280151,3,0.04004564260443052,0.0001432779334463981
pet_supplies,8,0.01,0.05,recall@10,0.058823528389135994,0.0010929959514146515,3,0.04004564260443052,0.0001432779334463981
pet_supplies,8,0.01,0.05,recall@5,0.03807413329680761,0.001320999471886476,3,0.04004564260443052,0.0001432779334463981
pet_supplies,8,0.01,0.07,n_visited_items,3914.424560546875,7.585381127019023,3,0.03960520153244337,0.00013942749189729963
pet_supplies,8,0.01,0.07,ndcg@10,0.030568834394216537,0.0006883213977066236,3,0.03960520153244337,0.00013942749189729963
pet_supplies,8,0.01,0.07,ndcg@5,0.023962384710709255,0.00045186011109939433,3,0.03960520153244337,0.00013942749189729963
pet_supplies,8,0.01,0.07,recall@10,0.05774912734826406,0.0023922691505971175,3,0.03960520153244337,0.00013942749189729963
pet_supplies,8,0.01,0.07,recall@5,0.037150820096333824,0.00045139497027739075,3,0.03960520153244337,0.00013942749189729963
pet_supplies,16,0.001,0.03,n_visited_items,4088.6209309895835,12.768164300050337,3,0.04409430300196012,0.000259066203554144
pet_supplies,16,0.001,0.03,ndcg@10,0.0350567897160848,0.0006615664310258166,3,0.04409430300196012,0.000259066203554144
pet_supplies,16,0.001,0.03,ndcg@5,0.028119944036006927,0.00044968750297836566,3,0.04409430300196012,0.000259066203554144
pet_supplies,16,0.001,0.03,recall@10,0.06276860212286313,0.0017850939636115115,3,0.04409430300196012,0.000259066203554144
pet_supplies,16,0.001,0.03,recall@5,0.041246979186932244,0.0007915097837782352,3,0.04409430300196012,0.000259066203554144
pet_supplies,16,0.001,0.05,n_visited_items,4028.0792643229165,10.422824537076046,3,0.043955735862255096,0.00014594573453690157
pet_supplies,16,0.001,0.05,ndcg@10,0.035114423682292305,0.0005834899175591714,3,0.043955735862255096,0.00014594573453690157
pet_supplies,16,0.001,0.05,ndcg@5,0.028394632662336033,0.0006070676511132805,3,0.043955735862255096,0.00014594573453690157
pet_supplies,16,0.001,0.05,recall@10,0.06302041312058766,0.0010805465559730778,3,0.043955735862255096,0.00014594573453690157
pet_supplies,16,0.001,0.05,recall@5,0.04205277934670448,0.0011735679559555672,3,0.043955735862255096,0.00014594573453690157
pet_supplies,16,0.001,0.07,n_visited_items,3980.3585611979165,4.743978110982729,3,0.04389859611789385,0.00036416902379350294
pet_supplies,16,0.001,0.07,ndcg@10,0.03422507643699646,0.00042835018880926497,3,0.04389859611789385,0.00036416902379350294
pet_supplies,16,0.001,0.07,ndcg@5,0.02718079835176468,0.0006358758449304094,3,0.04389859611789385,0.00036416902379350294
pet_supplies,16,0.001,0.07,recall@10,0.06194601207971573,0.00046158084132099964,3,0.04389859611789385,0.00036416902379350294
pet_supplies,16,0.001,0.07,recall@5,0.04003827522198359,0.0009713586538254425,3,0.04389859611789385,0.00036416902379350294
pet_supplies,16,0.003,0.03,n_visited_items,4077.422607421875,7.210538693989693,3,0.044539532313744225,0.000619229960667988
pet_supplies,16,0.003,0.03,ndcg@10,0.03585270792245865,0.0003504841418839634,3,0.044539532313744225,0.000619229960667988
pet_supplies,16,0.003,0.03,ndcg@5,0.028944330289959908,0.0001857496709788299,3,0.044539532313744225,0.000619229960667988
pet_supplies,16,0.003,0.03,recall@10,0.0642626906434695,0.0009408529027928309,3,0.044539532313744225,0.000619229960667988
pet_supplies,16,0.003,0.03,recall@5,0.0427242803076903,0.000342810503538385,3,0.044539532313744225,0.000619229960667988
pet_supplies,16,0.003,0.05,n_visited_items,4028.7652994791665,3.2624657908043138,3,0.04463352759679159,0.0003501162241202061
pet_supplies,16,0.003,0.05,ndcg@10,0.0357050821185112,0.0010721340664918899,3,0.04463352759679159,0.0003501162241202061
pet_supplies,16,0.003,0.05,ndcg@5,0.028716760377089184,0.0011231218118402336,3,0.04463352759679159,0.0003501162241202061
pet_supplies,16,0.003,0.05,recall@10,0.06392694016297658,0.001242163972758221,3,0.04463352759679159,0.0003501162241202061
pet_supplies,16,0.003,0.05,recall@5,0.042237443228562675,0.0013749393881241315,3,0.04463352759679159,0.0003501162241202061
pet_supplies,16,0.003,0.07,n_visited_items,3973.99072265625,3.001614622887763,3,0.04408526420593262,0.00019058308888341745
pet_supplies,16,0.003,0.07,ndcg@10,0.03528651843468348,0.0005556162177222754,3,0.04408526420593262,0.00019058308888341745
pet_supplies,16,0.003,0.07,ndcg@5,0.028549193715055782,0.00033434024256176985,3,0.04408526420593262,0.00019058308888341745
pet_supplies,16,0.003,0.07,recall@10,0.06291968996326129,0.0009586566187240341,3,0.04408526420593262,0.00019058308888341745
pet_supplies,16,0.003,0.07,recall@5,0.04201920578877131,0.0002534859059036225,3,0.04408526420593262,0.00019058308888341745
pet_supplies,16,0.01,0.03,n_visited_items,4072.4126790364585,36.447643056142155,3,0.04457626988490423,0.00028843282657225956
